listing_id,id,date,reviewer_id,reviewer_name,comments
13913,80770,18-08-2010,177109,Michael,"My girlfriend and I hadn't known Alina before we took the leap of faith to rent her flat. Alina just couldn't be nicer! Her flat is comfortable, homey, very sunny, and quiet at night. Her diverse neighborhood rocks! It's full of excellent eateries of varying ethnicities, good supermarkets, etc., etc. Her place is about a 10-minute walk to the Finsbury Park tube stop, and there are also several buses that ply Stroud Green Road. The Piccadilly and Victoria tube lines that serve Finsbury Park are very dependable and come frequently. My only caveat is if you are unwilling to take 20- to 40-minute commutes to downtown London attractions and money is no object, you will prefer to stay downtown. But for anyone else, you will love your experience of living in a real, untouristy neighborhood and dealing with a generous, warm-hearted woman I'm happy to call a new friend."
13913,367568,11-07-2011,19835707,Mathias,Alina was a really good host. The flat is clean and tidy - and really close to Finsbury Park station which is quite close to Central London. I recommend Alina to everyone. 
13913,529579,13-09-2011,1110304,Kristin,Alina is an amazing host. She made me feel right at home. It was more like hanging out with a friend than a complete stranger. She's very sweet and makes a mean espresso. There are tons of places right around flat to eat and market is close in case you want to cook. I would definitely stay here again if I was in London. Thanks Alina you're awesome.
13913,595481,03-10-2011,1216358,Camilla,"Alina's place is so nice, the room is big and clean, and the bed is huge. Alina is a great host, and she made sure I had everything I needed, for instance she had put clean towels on the bed for me:) I felt very at home in her place. Aside from that she really helped me out with a lot of things, and even helped me find a permanent place to live in London. So overall a great place to stay with a great girl."
13913,612947,09-10-2011,490840,Jorik,"Nice location in Islington area, good for short business trip. House is OK, host is very friendly."
13913,4847959,28-05-2013,6405442,Vera,"I'm very happy to have been Alina's guest! We've had great time in London and enjoyed our stay. Alina is a great host, we felt us so welcomed by her! <br/>Alina's house location is very convenient, it's only 5 min walk to Finsbury Park tube station and also a direct (Picadilly) line to Heathrow Airport (in case yu have an early departure you can use the opportunity to sleep a bit in the train :) <br/>The flat itself is very nice and clean and comfortable, especially the double-bed with new mattress, I slept like a newborn :) And also the red sofa on the small roof terrace is great, I enjoyed the last night London sky!<br/>To all who is going to visit London I highly reccomend Alina and her beautiful house to stay in. Alina, thank you so much and I hope to see you one day again!"
13913,8142329,17-10-2013,9195551,Honi,"I stayed with Alina in her flat in London for a week. It's a wonderful home with a warm feeling and everything you need. Alina went out of her way to make sure I was comfortable and we shared some great chats and meals. I recommend Alina's place to anyone looking for a home for a while in London, and look forward to seeing Alina again. "
13913,11876590,17-04-2014,5194009,Alessandro,"Alina was a perfect guest and her flat is absolutely wonderful. Highly recommended. <br/>"
13913,46669566,12-09-2015,42970248,Oleh,"Alina's flat is exceptional one.  <br/>I have to say i have never been to such an atmospheric place like her flat.<br/>Plenty of stunning art items around and all of these pictures and drawings are magnificent and inspirational.<br/>The kitchen is AMAZING. Huge window,  very bright and cozy  furnished with great equipment.<br/><br/>I would highly recommend this flat, <br/>i have had numerous short term rent in rent<br/>and this one is number one to me.<br/><br/><br/><br/>"
13913,64559033,05-03-2016,45337884,Mo,"The House is a piece of Art , there are beautiful portraits everywhere ,  so close to the tube station , on piccaddily and Victoria lines , the host alina is very friendly , welcoming , and polite person , highly recommended"
13913,196153582,22-09-2017,40946748,A,Was great base for my London visit and great support to update me about things to do. l felt very much welcome. Thanks again.
13913,261305314,06-05-2018,106481379,Daniel,"Alina was an amazing host, simply brilliant. Always available and kind, super kind! I miss our discussions in front of coffee or breakfast. Stay in touch!"
13913,277816069,17-06-2018,31960932,Belinda,Lovely relaxed place to stay. Very friendly and thoughtful host would definitely stay again. Very short walk from tube very safe and diverse area. Would definitely stay again and would recommend going to Bar Faltering Fullback for a drink in a local bar
13913,451955791,12-05-2019,58728173,Charles,"Alina's place is cosy, convenient, and full of eclectic artwork,  and furnishings made by herself personally. She met me at the door and instantly made me feel at home. Entrance is on a major road but the flat is set back so there is very little noise from the street."
13913,467269212,10-06-2019,2291517,Andrew,"Alina, was very quick to respond. Thoughtful and accommodating. Would definitely recommend."
13913,538005731,29-09-2019,7253695,Bart,Alina is an amazing host who welcomed me warmly and was always up for a talk. Her place is in a nice neighborhood with lots of great restaurants around.
13913,539957261,02-10-2019,45592945,John,Alina is a very relaxed and friendly host who made me completely welcome.  Whilst the room fronted the main road there was no noise and a comfortable bed made for a great night's sleep.  The location is great with so many bars and restaurants on the doorstep.
13913,543287825,07-10-2019,28531625,Philip,Felt at home - Alina is an excellent host - very friendly - makes you feel wanted not just tolerated - many thanks
13913,568976830,25-11-2019,38999586,Ania,"Alina’s place is great! It’s very stylish and cosy at the same time. She is a great host, quick at responding and very accommodating. I would definitely stay at Alina’s again."
13913,609079783,22-02-2020,336060662,Samuel,Outstanding host. Got along great.
13913,5.00561E+17,21-11-2021,366903575,Glenn,"Exactly what I needed! Hostels don't do it for me and hotels bore me. I'm glad I chose a place which displayed aesthetically pleasing art which in turn allowed me to gain the motivation to do what I came there to do, which is to write! Thanks Alina."
13913,5.97622E+17,04-04-2022,2941217,Kévin,"If the room is available, just take it !"
13913,6.28813E+17,17-05-2022,32486646,Saarah,"Alina's flat is lovely and quirky, with art all around which makes for a lovely atmosphere. <br/>It feels like a comfortable place to stay, with nice touches to personalise your stay.<br/>It was great to view the pieces of art where each one told a story :)<br/>Alina was a lovely and friendly person, giving lots of advice and explaining the art in her flat.<br/>It is on a road lined with many restaurants and cafes and close by supermarkets.<br/>It is an ideal location for those travelling by Eurostar and wanting to avoid staying in the busy Kings Cross area. <br/>There is a direct overground train to St Pancras International from Finsbury Park station (it's only 1 or 2 stops from what I remember) with more than enough time to arrive at St Pancras."
13913,6.31032E+17,20-05-2022,203803703,Mallin,"This is the most cosy and beautifully-decorated flat, in a lovely area. Alina was warm and kind, and made me feel very welcome in London. I would highly recommend staying here if you have the chance!"
13913,6.32423E+17,22-05-2022,172968198,Ged,"Alina was very welcoming, friendly  and helpful.  Home from home, with everything you need during your stay in the area. Location ideal for visiting London.<br/>Finsbury Park tube a 15 minute walk and there are plenty of parks and cafes nearby.<br/>I would stay again."
13913,6.46234E+17,10-06-2022,27083732,Robert,"An arty flat, clean and comfortable big room, welcoming and engaging host"
13913,6.52011E+17,18-06-2022,77938322,Cristina,"Alina is a great host, very friendly, relaxed, and warm. The room is very big, the bed is very comfortable. There is a lot of art all around you, which I really appreciated. The bathroom is nice and clean, shower is nice as well. It was quiet and very comfortable, I will stay again when visiting London."
13913,6.55595E+17,23-06-2022,20969189,Gemma,I had a lovely + easy stay in Alina’s flat which was really confortable and well located. Thanks!
13913,6.71591E+17,15-07-2022,188209672,Chaya,I loved staying here! A beautiful home and a lovely host! I hope to come back someday soon.
13913,7.17285E+17,16-09-2022,139088109,Ye,"Alina is a very generous and warm-hearted host! Staying with her is very chill and relaxed, u will feel just like home. Strongly recommended especially if u are traveling alone:))"
13913,7.20334E+17,20-09-2022,217491570,Violeta,Cancelled on the same day I arrived to London
13913,7.21519E+17,22-09-2022,63837960,Alexander,Great flat for a short stay with everything you could need. Alina was very pleasant and we had some nice chats. Recommended!
13913,7.2226E+17,23-09-2022,27083732,Robert,"Great stay again, Alina is friendly and welcoming. Nice quiet and calm and comfortable room."
13913,7.24435E+17,26-09-2022,30527774,Devaraj,I had an excellent stay in Alina's place
13913,7.28874E+17,02-10-2022,12977653,Mateusz,Everything was fine! Strongly recommended :)<br/>Alina was a great host.
13913,7.3317E+17,08-10-2022,63761526,Nicole,"Alina’s place was really cosy and homey, she was very welcoming and communicative about check in and check out. I had a great stay there, it’s very well-connected to central London and was very clean and tidy - thanks Alina!"
13913,7.33874E+17,09-10-2022,140184012,Gwen,Alina is a wonderful and friendly host. We loved staying at her flat as it was such a chilled vibe. Location is amazing. <br/>Thank you so much.
13913,7.39665E+17,17-10-2022,13510722,Irene,"Alina's house is perfect if you are someone who likes to experience the real city of London. The area is not yet heavily touristed and Alina lives a 5 min walk from Finsbury Park and the station and the street she is in is full of shops and restaurants.<br/>Alina is very kind and helpful, we had great chats. highly recommended"
13913,7.49095E+17,30-10-2022,276919648,Richard,Great location with easy access to shops and services in the area
13913,7.79612E+17,11-12-2022,96027098,Jp,Very helpful and good host!
13913,1.0333E+18,26-11-2023,457103259,Dennis,"The accommodation was great. I particularly liked the fact that you could enjoy your breakfast in the cosy kitchen in the sun when it was shining. ☀️<br/>The flat is very well located. It is quiet at night. There are various shops and restaurants nearby. You can also get anywhere relatively quickly from there by public transport.<br/>What's more, Alina is a great person. If I ever come to London again, this will be my first port of call 😃"
15400,21032,21-12-2009,53815,Hailey,"We loved staying at Phillipa's place in Chelsea. The flat was lovely, and the neighborhood was great. Lots of fun shops, and close to two metro stops. We would love to stay there again!"
15400,109674,02-10-2010,148145,Garth,"A comfortable apartment conveniently located near shops, restaurants and tube stations. <br/>Philippa is a very helpful and friendly hostess. We would recommend her and her apartment to anyone.<br/>Thank you Philippa for an enjoyable holiday."
15400,120941,17-10-2010,112795,Cédric,"I really enjoyed my week at Philippa's, the place is ideally situated in Chelsea, and she is a very kind host, I would definitely recommend that you stay there, I will again without any doubt. "
